title,genre,rating
Interstellar,sci-fi drama,9.0
Inception,sci-fi action thriller,8.8
Titanic,romance drama,7.8
John Wick,action crime thriller,8.1
The Notebook,romance drama,7.9
Avengers,action sci-fi adventure,8.5
The Dark Knight,action crime drama,9.0
Frozen,animation family comedy,7.5
Joker,crime drama thriller,8.4
Toy Story,animation comedy family,8.2
Avatar,sci-fi adventure action,8.0
The Matrix,sci-fi action thriller,8.7
Gladiator,action drama history,8.5
Iron Man,action sci-fi adventure,7.9
Doctor Strange,action fantasy sci-fi,7.8
Black Panther,action adventure sci-fi,7.7
Thor Ragnarok,action comedy fantasy,8.0
Captain America,action adventure sci-fi,7.8
Spider Man No Way Home,action adventure fantasy,8.4
Shutter Island,thriller mystery drama,8.2
Fight Club,drama thriller,8.8
Se7en,crime thriller mystery,8.6
The Godfather,crime drama,9.2
The Godfather Part II,crime drama,9.0
Pulp Fiction,crime drama comedy,8.9
Forrest Gump,drama romance comedy,8.8
The Shawshank Redemption,drama crime,9.3
The Green Mile,drama fantasy crime,8.6
The Lion King,animation adventure drama,8.5
Finding Nemo,animation adventure comedy,8.1
Cars,animation comedy family,7.2
Coco,animation family fantasy,8.4
Up,animation adventure comedy,8.3
Soul,animation fantasy drama,8.1
Moana,animation adventure family,7.8
Encanto,animation comedy family,7.5
Inside Out,animation comedy drama,8.1
Ratatouille,animation comedy family,8.0
Monsters Inc,animation comedy family,8.0
Brave,animation fantasy adventure,7.1
Harry Potter 1,fantasy adventure family,7.6
Harry Potter 2,fantasy mystery adventure,7.4
Harry Potter 3,fantasy adventure mystery,7.9
Harry Potter 4,fantasy adventure thriller,7.7
Harry Potter 5,fantasy action adventure,7.5
Harry Potter 6,fantasy mystery drama,7.6
Harry Potter 7,fantasy action drama,8.1
Fantastic Beasts,fantasy adventure family,6.9
Pirates of the Caribbean,adventure fantasy action,8.1
Lord of the Rings 1,fantasy adventure drama,8.8
Lord of the Rings 2,fantasy adventure action,8.8
Lord of the Rings 3,fantasy adventure drama,9.0
The Hobbit,fantasy adventure action,7.8
Dune,sci-fi adventure drama,8.2
Mad Max Fury Road,action adventure sci-fi,8.1
Top Gun Maverick,action drama adventure,8.3
Mission Impossible Fallout,action thriller adventure,8.0
Fast and Furious,action crime thriller,7.2
Fast Five,action crime adventure,7.3
Need for Speed,action crime drama,6.4
Rush,history drama sport,8.1
Ford v Ferrari,drama sport action,8.1
Creed,drama sport action,7.6
Rocky,drama sport,8.1
The Pursuit of Happyness,drama biography,8.0
A Beautiful Mind,drama biography,8.2
Whiplash,drama music,8.5
La La Land,romance drama music,8.0
Bohemian Rhapsody,biography music drama,7.9
Oppenheimer,drama history biography,8.5
The Imitation Game,drama biography thriller,8.0
The Social Network,drama biography,7.8
Catch Me If You Can,crime drama biography,8.1
The Wolf of Wall Street,comedy crime drama,8.2
Now You See Me,crime mystery thriller,7.2
Sherlock Holmes,mystery action crime,7.6
Knives Out,mystery comedy crime,7.9
Murder on the Orient Express,mystery drama crime,6.8
Gone Girl,thriller mystery drama,8.1
Bird Box,horror thriller drama,6.6
A Quiet Place,horror thriller sci-fi,7.5
The Conjuring,horror mystery thriller,7.5
Annabelle,horror mystery thriller,5.9
It,horror drama fantasy,7.3
Smile,horror mystery thriller,6.5
The Nun,horror mystery thriller,5.4
Train to Busan,horror action drama,7.6
World War Z,horror action sci-fi,7.0
Zombieland,comedy horror action,7.5
Deadpool,action comedy sci-fi,8.0
Deadpool 2,action comedy sci-fi,7.7
Free Guy,comedy sci-fi action,7.1
The Truman Show,comedy drama sci-fi,8.2
Ready Player One,sci-fi adventure action,7.4
Edge of Tomorrow,sci-fi action thriller,7.9
Oblivion,sci-fi action adventure,7.0
Lucy,sci-fi action thriller,6.4
Ex Machina,sci-fi thriller drama,7.7
Arrival,sci-fi drama mystery,7.9
Gravity,sci-fi thriller drama,7.7
The Martian,sci-fi adventure drama,8.0
Passengers,sci-fi romance drama,7.0
Her,romance sci-fi drama,8.0
Me Before You,romance drama,7.4
The Fault in Our Stars,romance drama,7.7
Pride and Prejudice,romance drama,7.8
The Great Gatsby,drama romance,7.2
